buckets_per_day,vpin_window,bucket_size,total_pnl,buy_hold_pnl,excess_return,num_exits,win_rate,max_drawdown,num_buckets
75,75,17119.34548206156,1390.6958944325463,6872.632907820069,-5481.937013387523,80,50.0,-483.0704922585488,165525
75,100,17119.34548206156,1431.25330496855,7068.873674207481,-5637.620369238931,70,54.285714285714285,-505.22359575491544,165525
75,125,17119.34548206156,1798.2250942240996,7014.396870715347,-5216.171776491247,66,53.03030303030303,-1570.2579041797194,165525
75,150,17119.34548206156,1813.354939516815,6782.773333008804,-4969.418393491989,70,42.857142857142854,-1575.3506297636009,165525
75,175,17119.34548206156,1748.8981856459066,6794.872180768721,-5045.973995122814,68,55.88235294117647,-1584.850076374641,165525
75,200,17119.34548206156,1672.896788253065,6816.961741861527,-5144.064953608462,70,54.285714285714285,-1588.0713172349458,165525
75,250,17119.34548206156,1656.5269077699168,6758.244116636976,-5101.7172088670595,80,40.0,-1596.5732292857824,165525
75,300,17119.34548206156,1569.772973092493,6593.8234473328675,-5024.050474240375,74,43.24324324324324,-1575.3506297636009,165525
100,15,12839.50911154617,1107.9202882727914,6688.558431001863,-5580.638142729072,195,58.46153846153847,-346.7857942780349,220700
100,20,12839.50911154617,1060.078009240767,6697.941417877822,-5637.863408637055,161,58.38509316770186,-346.7857942780349,220700
100,30,12839.50911154617,1057.7038208871634,6730.312266708789,-5672.6084458216255,132,55.3030303030303,-347.2915062627661,220700
100,50,12839.50911154617,1319.9933739620153,6701.717881719532,-5381.724507757516,107,48.598130841121495,-516.9366363216585,220700
100,75,12839.50911154617,1300.7795139586663,6757.052377522837,-5456.272863564171,80,50.0,-482.8938571614391,220700
100,100,12839.50911154617,1380.5624953110243,6868.893822501252,-5488.331327190227,75,50.66666666666667,-483.2459954655501,220700
100,125,12839.50911154617,1495.3678418005472,6921.130594515396,-5425.762752714849,72,52.77777777777778,-504.2449090415927,220700
100,150,12839.50911154617,1775.0168070172992,7111.760173878939,-5336.7433668616395,73,50.68493150684932,-1570.4068260938548,220700
100,175,12839.50911154617,1663.7099516052142,6851.2072294606805,-5187.497277855467,69,55.072463768115945,-1571.2819828606364,220700
100,200,12839.50911154617,1634.8530724639747,6774.241110698735,-5139.38803823476,67,49.25373134328358,-1572.8378726846263,220700
100,250,12839.50911154617,1556.9773104572403,6778.658616951255,-5221.681306494014,69,46.3768115942029,-1583.3339066808094,220700
100,300,12839.50911154617,1566.3580700972013,6751.752280758048,-5185.3942106608465,74,45.94594594594595,-1587.2801113731412,220700
125,15,10271.607289236936,976.3121332832092,6698.229639773534,-5721.917506490325,198,58.080808080808076,-254.78255438156145,275875
125,20,10271.607289236936,1035.136801309171,6677.832013338411,-5642.695212029241,179,52.513966480446925,-346.41760736565254,275875
125,30,10271.607289236936,1055.767309480576,6698.2230554566395,-5642.455745976064,148,60.13513513513513,-346.8855617006441,275875
125,50,10271.607289236936,1327.422756248784,6703.849079903208,-5376.426323654424,116,52.58620689655172,-516.6791516787798,275875
125,75,10271.607289236936,1316.1729239643082,6721.043422978262,-5404.870499013954,98,53.06122448979592,-482.22004243302604,275875
125,100,10271.607289236936,1335.5957032215729,6749.018668922541,-5413.422965700968,84,52.38095238095239,-483.6431052346335,275875
125,125,10271.607289236936,1413.5626077972609,6867.219727410531,-5453.65711961327,77,49.35064935064935,-482.9300028766668,275875
125,150,10271.607289236936,1446.0282106213072,6890.8391701404125,-5444.810959519105,73,50.68493150684932,-481.90001239225444,275875
125,175,10271.607289236936,1813.5427756269814,7090.950901318016,-5277.408125691034,77,46.75324675324675,-1575.2697491858694,275875
125,200,10271.607289236936,1701.3585393089697,7114.597355698245,-5413.238816389276,70,52.85714285714286,-1571.2702750713395,275875
125,250,10271.607289236936,1627.5551548036742,6770.6666781149015,-5143.111523311227,72,43.05555555555556,-1578.7732819279895,275875
125,300,10271.607289236936,1614.4628571170806,6775.031349280127,-5160.568492163046,75,46.666666666666664,-1587.1874131084373,275875
150,15,8559.67274103078,944.2291219353042,6697.181800738389,-5752.952678803085,223,57.847533632286996,-254.7301926550324,331050
150,20,8559.67274103078,1110.6215454447022,6686.737004101876,-5576.115458657174,190,55.78947368421052,-346.5456230956711,331050
150,30,8559.67274103078,1100.6279715343042,6689.883858077625,-5589.25588654332,167,56.886227544910184,-346.5456230956712,331050
150,50,8559.67274103078,1379.8660815727467,6735.996386603726,-5356.13030503098,128,55.46875,-513.9659852386434,331050
150,75,8559.67274103078,1369.582351490157,6689.246514161893,-5319.664162671736,106,54.71698113207547,-517.1206934324513,331050
150,100,8559.67274103078,1332.7339581663782,6728.760236341337,-5396.026278174959,88,55.68181818181818,-482.3396448438325,331050
